pair,habitat,size,unit
EI/PH,pool,27.3,mm
EI/PH,pool,12.1,mm
EI/PH,pool,12.3,mm
EI/PH,pool,16.1,mm
EI/PH,pool,24.2,mm
EI/PH,pool,27,mm
EI/PH,pool,22.7,mm
EI/PH,pool,18.7,mm
EI/PH,pool,7.2,mm
EI/PH,pool,11.7,mm
SS/SD,pool,3,mm
SS/SD,pool,2.4,mm
SS/SD,pool,2,mm
SS/SD,pool,2.5,mm
SS/SD,pool,2,mm
SS/SD,pool,11,mm
SS/SD,pool,3.5,mm
SS/SD,pool,1.9,mm
SS/SD,pool,2.8,mm
SS/SD,pool,4,mm
EL/JS,pool,29.1,mm
EL/JS,pool,40,mm
EL/JS,pool,35,mm
EL/JS,pool,27,mm
EL/JS,pool,38,mm
EL/JS,pool,28,mm
EL/JS,pool,43,mm
EL/JS,pool,31,mm
EL/JS,pool,44,mm
EL/JS,pool,40,mm
EI/PH,riffle,24.4,mm
EI/PH,riffle,21.5,mm
EI/PH,riffle,23.3,mm
EI/PH,riffle,20.2,mm
EI/PH,riffle,11.1,mm
EI/PH,riffle,18.5,mm
EI/PH,riffle,18.2,mm
EI/PH,riffle,18.3,mm
EI/PH,riffle,11.1,mm
EI/PH,riffle,24.2,mm
SS/SD,riffle,2,mm
SS/SD,riffle,18.6,mm
SS/SD,riffle,2.2,mm
SS/SD,riffle,13.5,mm
SS/SD,riffle,63,mm
SS/SD,riffle,10,mm
SS/SD,riffle,2.1,mm
SS/SD,riffle,2,mm
SS/SD,riffle,2,mm
SS/SD,riffle,2,mm
EL/JS,riffle,33,mm
EL/JS,riffle,30,mm
EL/JS,riffle,41,mm
EL/JS,riffle,55,mm
EL/JS,riffle,40.2,mm
EL/JS,riffle,50,mm
EL/JS,riffle,35,mm
EL/JS,riffle,42,mm
EL/JS,riffle,57,mm
EL/JS,riffle,33,mm
E/K,pool,2,mm
E/K,pool,2,mm
E/K,pool,20,mm
E/K,pool,36.8,mm
E/K,pool,21.3,mm
E/K,pool,43.7,mm
E/K,pool,11.4,mm
E/K,pool,17,mm
E/K,pool,4.3,mm
E/K,pool,8.4,mm
E/K,riffle,32.6,mm
E/K,riffle,37.7,mm
E/K,riffle,21.7,mm
E/K,riffle,40,mm
E/K,riffle,32,mm
E/K,riffle,19.7,mm
E/K,riffle,23.2,mm
E/K,riffle,17.9,mm
E/K,riffle,19.9,mm
E/K,riffle,75.3,mm
