pair,habitat,depth,unit
SS/SD,riffle,4,cm
SS/SD,riffle,3.5,cm
SS/SD,riffle,1,cm
SS/SD,riffle,21,cm
SS/SD,riffle,14,cm
SS/SD,riffle,10,cm
SS/SD,riffle,17,cm
SS/SD,riffle,10,cm
SS/SD,riffle,3,cm
EI/PH,pool,10,cm
EI/PH,pool,13,cm
EI/PH,pool,8,cm
EI/PH,pool,29,cm
EI/PH,pool,46,cm
EI/PH,pool,49,cm
EI/PH,pool,10,cm
EI/PH,pool,23,cm
EI/PH,pool,28,cm
E/K,pool,4,cm
E/K,pool,11,cm
E/K,pool,18,cm
E/K,pool,7,cm
E/K,pool,25,cm
E/K,riffle,3,cm
E/K,riffle,4.5,cm
E/K,riffle,4.5,cm
E/K,riffle,2,cm
E/K,riffle,3,cm
EI/PH,riffle,2,cm
EI/PH,riffle,15,cm
EI/PH,riffle,10.5,cm
EI/PH,riffle,5,cm
EI/PH,riffle,5,cm
EI/PH,riffle,8,cm
EI/PH,riffle,7,cm
EI/PH,riffle,2,cm
EI/PH,riffle,5.5,cm
EL/JS,pool,29.5,cm
EL/JS,pool,34,cm
EL/JS,pool,16,cm
EL/JS,pool,20,cm
EL/JS,pool,13,cm
EL/JS,pool,5.5,cm
EL/JS,pool,18.5,cm
EL/JS,pool,14,cm
EL/JS,pool,8,cm
EL/JS,riffle,7,cm
EL/JS,riffle,5,cm
EL/JS,riffle,2,cm
EL/JS,riffle,2,cm
EL/JS,riffle,5,cm
EL/JS,riffle,15,cm
EL/JS,riffle,5.5,cm
EL/JS,riffle,8,cm
EL/JS,riffle,11,cm
E/K,pool,33,cm
E/K,pool,11,cm
E/K,pool,24,cm
E/K,pool,41,cm
E/K,riffle,2,cm
E/K,riffle,2,cm
E/K,riffle,4,cm
E/K,riffle,3,cm
