row_number,person_entered,site_id,n_species,drainage_area,do,conductance,ph,forest,developed_area,imperv_surface,cultivation,grass,wetland,water,barren
8,summer,JF60,11,8.9,5.2,127,6.4,36.8,2.9,0.2,3,16.9,40.3,0,0
1,ethan,JF38,23,45.7,8.4,200,6.9,31.1,4.9,0.5,25.9,18,19.9,0.1,0
2,ethan,JF37,26,50.9,7.2,107,6.3,17.4,9,1.3,48.6,9.9,14.8,0.3,0.1
3,ethan,JF36,18,61.7,7.4,110,6.2,12.4,8.5,1.1,56,9.8,12.5,0.8,0
4,ethan,JF39,23,27.6,9.1,117,5.6,10.1,36.6,10.3,34.3,8.6,10.1,0.1,0.2
5,summer/ebony,JF48,23,56.6,6.2,114,6.8,44.5,11.7,2.2,29,6.7,6.6,1.4,0.1
6,summer,JF29,17,10.5,8.8,107,5.9,42.1,39.1,9.9,9.6,7.8,0.3,0.5,0.6
7,summer,JF91,15,21,8.7,130,6.3,16.6,78.3,17.2,1.2,1.5,0.7,1.7,0
9,ebony,JF41,15,41.2,8.7,62,5.9,37.9,13.1,2.3,31.8,8.8,6.5,1.5,0.4
23,parker,JF12,14,7.8,10.2,114,6.9,50.1,41.9,5.7,2.7,2.7,1.9,0.6,0.1
10,ebony,JF18,18,17.3,7.9,102,6.3,46.4,4.5,0.7,38.3,9.6,0.4,0.4,0.5
11,ebony,JF31,24,22.6,9.1,109,6.5,40.9,36.1,8.6,13.1,7.2,1.4,0.8,0.5
12,jordyn,JF26,21,26.4,10.1,74,6,47.8,11.4,2.4,21.1,13.7,4,0.8,0.2
13,jordyn,JF42,21,23.7,8.4,71,5.4,26,8.4,1.3,39.5,13,12.9,0.1,0
14,jordyn,JF25,19,17.3,9.7,88,6.1,27.7,34.5,8.6,23.9,9.9,2.8,0.5,0.7
15,emily,JF6,17,26.7,7.8,71,6.3,50.2,7.1,0.8,33.4,5.8,0.9,2.6,0.1
16,emily,JF17,21,39,8.2,102,6.4,57.8,5.4,0.5,29.6,6.1,0.8,0.4,0.1
17,emily,JF3,21,32.5,7.5,77,6.7,56.9,4.5,0.5,24.3,12.5,1.3,0.3,0.1
18,emily,JF104,17,23.4,9,169,6.2,12.6,82.6,24.6,1.5,0.8,0.7,1.5,0.1
19,shanice,JF24,21,84,6.9,291,6.3,32.6,56.1,18.5,3.7,3.7,1.2,1.9,0.7
20,shanice,JF10,19,11.9,9.3,91,6.4,55.3,26.2,3.8,10.2,6.3,1.6,0.3,0
21,shanice,JF32,12,29.4,6.7,208,6.5,13.2,81.1,21.3,1.5,1,1.6,1.3,0.2
22,shanice,JF34,20,35.6,6.3,288,6.4,34.1,41.5,9.2,10.5,8.5,4.2,1.1,0.2
24,parker,JF35,27,11,7.4,251,6.4,26.1,34.6,8.5,21,12.6,4.2,1.1,0.4
25,parker,JF14,17,33,9,93,6.7,48,13.4,3.6,28.9,7.7,0.7,0.3,0.1
26,parker,JF15,16,12.2,10.1,70,7,65.7,9.5,1,15.4,7.4,1.5,0.2,0.2
27,kota,JF55,18,6,6.8,118,5.7,13.8,7.2,0.7,60,6.4,12.3,0.2,0
28,kota,JF49,26,24.9,8.7,109,5.7,15.1,6.9,0.9,55.6,7.8,14.4,0.1,0
29,kota,JF65,25,16.3,5.4,110,6.3,17.4,11.5,2.2,49.9,11.8,9.3,0.1,0
31,jordyn,JF50,21,14.2,6.6,102,5.3,19.6,6.6,0.6,50.5,9.3,13.7,0.3,0
30,kota,JF63,21,48,5.2,119,6.6,31.3,3.6,0.3,35.9,12.7,16.2,0.2,0
